DATE,DATA
2004-11-16,2.07625
2004-11-17,2.07313
2004-11-18,2.07750
2004-11-19,2.07563
2004-11-22,2.08625
2004-11-23,2.08875
2004-11-24,2.09000
2004-11-25,2.09000
2004-11-26,2.08875
2004-11-29,2.09000
2004-11-30,2.09250
2004-12-01,2.08750
2004-12-02,2.09313
2004-12-03,2.10125
2004-12-06,2.13750
2004-12-07,2.18125
2004-12-08,2.20375
2004-12-09,2.29500
2004-12-10,2.31375
2004-12-13,2.32250
2004-12-14,2.32875
2004-12-15,2.32750
2004-12-16,2.32375
2004-12-17,2.32625
2004-12-20,2.32563
2004-12-21,2.32313
2004-12-22,2.32250
2004-12-23,2.47000
2004-12-24,2.47250
2004-12-29,2.51625
2004-12-30,2.33750
2004-12-31,2.33625
2005-01-04,2.32938
2005-01-05,2.32875
2005-01-06,2.33000
2005-01-07,2.32875
2005-01-10,2.32875
2005-01-11,2.33000
2005-01-12,2.33000
2005-01-13,2.33125
2005-01-14,2.33500
2005-01-17,2.33375
2005-01-18,2.33375
2005-01-19,2.33125
2005-01-20,2.33375
2005-01-21,2.34000
2005-01-24,2.35000
2005-01-25,2.37500
2005-01-26,2.40875
2005-01-27,2.51875
2005-01-28,2.55500
2005-01-31,2.56000
2005-02-01,2.56375
2005-02-02,2.56000
2005-02-03,2.56250
2005-02-04,2.56375
2005-02-07,2.56875
2005-02-08,2.57000
2005-02-09,2.57000
2005-02-10,2.57000
2005-02-11,2.57000
2005-02-14,2.57000
2005-02-15,2.57000
2005-02-16,2.56750
2005-02-17,2.57125
2005-02-18,2.57500
2005-02-21,2.57375
2005-02-22,2.57250
2005-02-23,2.57250
2005-02-24,2.57625
2005-02-25,2.57750
2005-02-28,2.57750
2005-03-01,2.57750
2005-03-02,2.57000
2005-03-03,2.57125
2005-03-04,2.57438
2005-03-07,2.58000
2005-03-08,2.57875
2005-03-09,2.57875
2005-03-10,2.59625
2005-03-11,2.62875
2005-03-14,2.65500
2005-03-15,2.70375
2005-03-16,2.75875
2005-03-17,2.81375
2005-03-18,2.82500
2005-03-21,2.83000
2005-03-22,2.82875
2005-03-23,2.84375
2005-03-24,2.84750
2005-03-29,2.84625
2005-03-30,2.84500
2005-03-31,2.83625
2005-04-01,2.83625
2005-04-04,2.83188
2005-04-05,2.82875
2005-04-06,2.82625
2005-04-07,2.83000
2005-04-08,2.83000
2005-04-11,2.83250
2005-04-12,2.83375
2005-04-13,2.84500
2005-04-14,2.83625
2005-04-15,2.83450
2005-04-18,2.83000
2005-04-19,2.82750
2005-04-20,2.82750
2005-04-21,2.89125
2005-04-22,2.92250
2005-04-25,2.95500
2005-04-26,2.99625
2005-04-27,3.03500
2005-04-28,3.05625
2005-04-29,3.06125
2005-05-03,3.06000
2005-05-04,3.06000
2005-05-05,3.06000
2005-05-06,3.06000
2005-05-09,3.06313
2005-05-10,3.06313
2005-05-11,3.06188
2005-05-12,3.06375
2005-05-13,3.06125
2005-05-16,3.06250
2005-05-17,3.06000
2005-05-18,3.06000
2005-05-19,3.06000
2005-05-20,3.06000
2005-05-23,3.06875
2005-05-24,3.06875
2005-05-25,3.06875
2005-05-26,3.07000
2005-05-27,3.06625
2005-05-31,3.07000
2005-06-01,3.06750
2005-06-02,3.06500
2005-06-03,3.06375
2005-06-06,3.06500
2005-06-07,3.06938
2005-06-08,3.07000
2005-06-09,3.07000
2005-06-10,3.07000
2005-06-13,3.07000
2005-06-14,3.07000
2005-06-15,3.07000
2005-06-16,3.07250
2005-06-17,3.08750
2005-06-20,3.09875
2005-06-21,3.13250
2005-06-22,3.21000
2005-06-23,3.30625
2005-06-24,3.31875
2005-06-27,3.32500
2005-06-28,3.32500
2005-06-29,3.32375
2005-06-30,3.31750
2005-07-01,3.31375
2005-07-04,3.31531
2005-07-05,3.31688
2005-07-06,3.31813
2005-07-07,3.32000
2005-07-08,3.32000
2005-07-11,3.31938
2005-07-12,3.31875
2005-07-13,3.31750
2005-07-14,3.31750
2005-07-15,3.32125
2005-07-18,3.31875
2005-07-19,3.31938
2005-07-20,3.31313
2005-07-21,3.31938
2005-07-22,3.32375
2005-07-25,3.32750
2005-07-26,3.33375
2005-07-27,3.33750
2005-07-28,3.35625
2005-07-29,3.37188
2005-08-01,3.40250
2005-08-02,3.45750
2005-08-03,3.48750
2005-08-04,3.54125
2005-08-05,3.55375
2005-08-08,3.55750
